timestamp,frame,gaze,hand,trajectory,predicted_action,alert_flag
1744349354.63,3090,unknown,unknown,center,unknown,NO
1744349355.34,3100,unknown,unknown,center,unknown,NO
1744349356.04,3110,unknown,unknown,center,unknown,NO
1744349356.75,3120,unknown,unknown,left,unknown,NO
1744349357.45,3130,unknown,unknown,center,unknown,NO
1744349358.16,3140,unknown,unknown,right,unknown,NO
1744349358.87,3150,unknown,unknown,left,unknown,NO
1744349359.59,3160,unknown,unknown,left,unknown,NO
1744349360.29,3170,unknown,unknown,center,unknown,NO
1744349361.0,3180,unknown,unknown,right,unknown,NO
1744349361.71,3190,unknown,unknown,right,unknown,NO
1744349362.41,3200,unknown,unknown,right,unknown,NO
1744349363.12,3210,unknown,unknown,left,unknown,NO
1744349363.83,3220,unknown,unknown,center,unknown,NO
1744349364.54,3230,unknown,unknown,right,unknown,NO
1744349365.24,3240,unknown,unknown,center,unknown,NO
1744349365.95,3250,unknown,unknown,center,unknown,NO
1744349366.65,3260,unknown,unknown,right,unknown,NO
1744349367.37,3270,unknown,unknown,center,unknown,NO
1744349368.07,3280,unknown,unknown,center,unknown,NO
1744349368.77,3290,unknown,unknown,center,unknown,NO
1744349369.48,3300,unknown,unknown,center,unknown,NO
1744349370.19,3310,unknown,unknown,left,unknown,NO
1744349370.9,3320,unknown,unknown,left,unknown,NO
1744349371.6,3330,unknown,unknown,right,unknown,NO
1744349372.31,3340,unknown,unknown,left,unknown,NO
1744349373.02,3350,unknown,unknown,center,unknown,NO
1744349373.73,3360,unknown,unknown,center,unknown,NO
1744349374.43,3370,unknown,unknown,left,unknown,NO
1744349375.14,3380,unknown,unknown,center,unknown,NO
1744349375.84,3390,unknown,unknown,left,unknown,NO
1744349376.55,3400,unknown,unknown,left,unknown,NO
1744349377.25,3410,unknown,unknown,center,unknown,NO
1744349377.97,3420,unknown,unknown,left,unknown,NO
1744349378.67,3430,unknown,unknown,center,unknown,NO
1744349379.38,3440,unknown,unknown,center,unknown,NO
1744349380.09,3450,unknown,unknown,center,unknown,NO
1744349380.79,3460,unknown,unknown,left,unknown,NO
1744349381.49,3470,unknown,unknown,left,unknown,NO
1744349382.21,3480,unknown,unknown,right,unknown,NO
1744349382.92,3490,unknown,unknown,right,unknown,NO
1744349383.62,3500,unknown,unknown,center,unknown,NO
1744349384.33,3510,unknown,unknown,center,unknown,NO
1744349385.03,3520,unknown,unknown,right,unknown,NO
1744349385.75,3530,unknown,unknown,left,unknown,NO
1744349386.45,3540,unknown,unknown,right,unknown,NO
1744349387.16,3550,unknown,unknown,left,unknown,NO
1744349387.86,3560,unknown,unknown,center,unknown,NO
1744349388.57,3570,unknown,unknown,right,unknown,NO
1744349389.28,3580,unknown,unknown,left,unknown,NO
1744349389.98,3590,unknown,unknown,left,unknown,NO
1744349390.69,3600,unknown,unknown,right,unknown,NO
1744349391.39,3610,unknown,unknown,center,unknown,NO
1744349392.1,3620,unknown,unknown,left,unknown,NO
1744349392.81,3630,unknown,unknown,left,unknown,NO
1744349393.52,3640,unknown,unknown,left,unknown,NO
1744349394.22,3650,unknown,unknown,right,unknown,NO
1744349394.93,3660,unknown,unknown,center,unknown,NO
1744349395.64,3670,unknown,unknown,center,unknown,NO
1744349396.34,3680,unknown,unknown,right,unknown,NO
1744349397.05,3690,unknown,unknown,left,unknown,NO
1744349397.76,3700,unknown,unknown,right,unknown,NO
1744349398.46,3710,unknown,unknown,left,unknown,NO
1744349399.17,3720,unknown,unknown,right,unknown,NO
1744349399.88,3730,unknown,unknown,left,unknown,NO
1744349400.59,3740,unknown,unknown,right,unknown,NO
1744349401.29,3750,unknown,unknown,left,unknown,NO
1744349402.0,3760,unknown,unknown,center,unknown,NO
